hour_band,deaths,sameday_RR_+9C,sameday_lo,sameday_hi,cumRR_+9C,cum_lo,cum_hi,dispersion_phi
00-05,53881,1.179,1.11,1.253,1.098,0.963,1.251,1.216
06-11,50819,1.061,1.0,1.127,1.006,0.887,1.141,1.198
12-17,76485,1.212,1.155,1.271,1.054,0.948,1.173,1.222
18-23,88170,1.185,1.132,1.241,1.112,1.007,1.229,1.196
