year,deaths,heat_an,heat_af_pct
2019,2397,13.735841382890893,0.5730430280722107
2020,1980,9.481134161334335,0.47884515966335023
2021,1943,8.853989190360585,0.45568652549462607
2022,2014,6.909708082603857,0.34308381740833455
2023,1630,13.651293840816106,0.83750268962062
2024,1612,12.441404340019433,0.7717992766761435
