tmean,rr,lo,hi
-3.4,0.9192739267023692,0.8655881988076223,0.9762893642483788
-3.2258793969849244,0.9272145501301255,0.8784983295568041,0.9786322785687447
-3.0517587939698494,0.935187593694945,0.891531381427757,0.9809815488495068
-2.877638190954774,0.9431919560231969,0.9046857117701732,0.983337146074947
-2.7035175879396984,0.9512265031548766,0.9179595665318528,0.9856990365303383
-2.529396984924623,0.9592900682969687,0.9313510784340392,0.9880671815836382
-2.3552763819095475,0.9673814515906675,0.9448582652172386,0.9904415374580067
-2.1811557788944724,0.9754994198930244,0.9584790279630543,0.992822054994726
-2.007035175879397,0.9836427065736073,0.9722111494976825,0.9952086794060759
-1.8329145728643215,0.9918100113267527,0.9860522928828398,0.997601350017704
-1.6587939698492462,1.0,1.0,1.0
-1.484673366834171,1.0082113044392957,1.0024045560879649,1.0140516902339234
-1.3105527638190955,1.0164425223515656,1.0048149382890383,1.0282046592615668
-1.13643216080402,1.0246922171852446,1.0072310595783251,1.0424560779525505
-0.962311557788945,1.0329589180293626,1.0096528255806267,1.0568029913874437
-0.7881909547738695,1.0412411195317857,1.012080134238668,1.0712423180002215
-0.614070351758794,1.0495372818372033,1.014512875466864,1.0857708488512952
-0.4399497487437185,1.057845830545466,1.0169509307899545,1.1003852470376057
-0.265829145728643,1.06616515669086,1.0193941729657923,1.1150820472463017
-0.09170854271356799,1.0744936167429182,1.0218424655915395,1.1298576554585855
0.0824120603015075,1.082829532629353,1.0242956626924902,1.1447083488103302
0.256532663316583,1.0911711917817013,1.0267536082927002,1.1596302756161092
0.430653266331658,1.0995168472042591,1.0292161359665677,1.1746194555632818
0.6047738693467335,1.1078647175668876,1.031683068370459,1.1896717800827907
0.778894472361809,1.1162129873222575,1.0341542167534445,1.2047830129033106
0.9530150753768845,1.1245598068480989,1.0366293804461493,1.2199487907953699
1.12713567839196,1.1329032926150098,1.03910834632669,1.2351646245120378
1.3012562814070354,1.1412415273803755,1.041590888262611,1.2504258999327158
1.47537688442211,1.1495725604089326,1.0440767665276889,1.2657278794165205
1.6494974874371855,1.1578944077205102,1.0465657271924138,1.2810657033716681
1.823618090452261,1.1662050523654595,1.0490575014869112,1.2964343920471861
1.9977386934673365,1.174502444728283,1.0515518051350004,1.3118288475531796
2.171859296482412,1.1827845028599488,1.0540483376580347,1.32724385611576
2.3459798994974874,1.1910491128393703,1.0565467816471033,1.3426740905726182
2.520100502512563,1.1992941291645107,1.0590468020021115,1.3581141131150825
2.6942211055276384,1.2075173751735613,1.0615480451361923,1.373558378282331
2.868341708542714,1.2157166434966173,1.064050138143833,1.3890012362132669
3.0424623115577885,1.223889696538268,1.0665526879310372,1.404436936161364
3.216582914572864,1.2320342669914814,1.0690552803057607,1.4198596302775846
3.3907035175879394,1.2401480583831683,1.0715574790267999,1.4352633776662553
3.564824120603015,1.2482287456517616,1.0740588248092307,1.4506421487185377
3.7389447236180904,1.2562739757571435,1.076558834284422,1.4659898297278755
3.913065326633166,1.2642813683232261,1.079056998912575,1.4813002277915366
4.087185929648241,1.272248516313459,1.0815527838456613,1.4965670760020673
4.2613065326633155,1.2801729867395186,1.0840456267385608,1.5117840389321728
4.435427135678392,1.288052321403409,1.0865349365061183,1.526944718416211
4.6095477386934665,1.2958840376731655,1.0890200920237765,1.542042659631152
4.783668341708543,1.30366562929234,1.0915004407693571,1.5570713574794794
4.957788944723617,1.3113945672234,1.0939752974035053,1.5720242632761463
5.131909547738692,1.3190683005251562,1.0964439422862415,1.5868947917412894
5.306030150753768,1.326684257264292,1.0989056199270053,1.6016763282999866
5.480150753768843,1.334239845461043,1.1013595373655258,1.6163622366899117
5.654271356783919,1.3417324540690334,1.103804862480808,1.6309458668772732
5.828391959798994,1.3491594539892484,1.1062407222254813,1.6454205632809416
6.00251256281407,1.3565181991180815,1.1086662007827452,1.6597796733041723
6.176633165829145,1.363806027429356,1.1110803376431249,1.6740165561727867
6.3507537688442195,1.3710202620901941,1.1134821255982643,1.6881245920781351
6.524874371859296,1.3781582126105545,1.1158705086490066,1.7020971916225658
6.6989949748743705,1.385217176026226,1.1182443798250605,1.715927805564519
6.873115577889447,1.3921944381150289,1.1206025789136265,1.7296099348597105
7.047236180904521,1.3990872746459255,1.1229438900944642,1.7431371409941943
7.221356783919598,1.4058929526607087,1.1252670394790187,1.756503056604369
7.395477386934672,1.4126087317878857,1.1275706925514086,1.769701396378215
7.569597989949749,1.4192318655883407,1.1298534515093022,1.7827259682312688
7.743718592964823,1.4257596029323065,1.1321138525029917,1.7955706847499395
7.917839195979898,1.4321891894071404,1.1343503627713074,1.808229574893882
8.091959798994974,1.4385178687553437,1.1365613776734305,1.8206967959481382
8.266080402010049,1.4447428843422316,1.1387452176161317,1.832966645714712
8.440201005025125,1.4508614806526006,1.1409001248765436,1.8450335749321067
8.6143216080402,1.4568709048157042,1.143024260321227,1.8568921999101264
8.788442211055276,1.462768408157799,1.1451157000230687,1.8685373153659468
8.96256281407035,1.4685512477814706,1.1471724317784275,1.8799639074460104
9.136683417085427,1.4742174049373113,1.14919255326515,1.8911686739051268
9.310804020100502,1.4797679694544643,1.151174977093964,1.9021550042297821
9.484924623115576,1.4852049291517162,1.1531188785825315,1.9129282527123914
9.659045226130653,1.4905303485973418,1.1550234804987511,1.9234939874385655
9.833165829145727,1.4957463670672522,1.1568880582294947,1.9338579724115992
10.007286432160804,1.5008551965217785,1.1587119448428753,1.9440261498571854
10.181407035175878,1.5058591195947146,1.1604945360396146,1.954004622723327
10.355527638190955,1.5107604875981946,1.1622352949888741,1.9637996374131654
10.52964824120603,1.5155617185468795,1.1639337570413535,1.9734175667895533
10.703768844221104,1.5202652952048414,1.1655895343102793,1.982864893490903
10.87788944723618,1.5248737631584226,1.1672023201090813,1.9921481935981953
11.052010050251255,1.5293897289182603,1.168771893233039,2.0012741206930227
11.226130653266331,1.533815858053564,1.1702981220710016,2.0102493903462486
11.400251256281406,1.53815487336163,1.1717809685323788,2.019080765076239
11.574371859296482,1.5424095530754904,1.1732204917740037,2.0277750398147694
11.748492462311557,1.5465827291124814,1.1746168517111326,2.0363390279175415
11.922613065326631,1.5506772853664275,1.1759703122967902,2.0447795477548776
