dimension,group,deaths,sameday_RR_+9C,sameday_lo,sameday_hi,cumRR_+9C,cum_lo,cum_hi,dispersion_phi
user,vehicle_occupant,178365,1.05,1.016,1.085,1.016,0.949,1.088,1.272
user,motorcyclist,38248,2.141,2.0,2.292,1.289,1.081,1.537,1.035
user,pedestrian,46022,1.213,1.145,1.286,1.179,1.035,1.342,1.04
user,cyclist,6356,1.237,1.032,1.484,1.089,0.726,1.634,0.99
age,<25,54003,1.123,1.059,1.191,1.0,0.881,1.136,1.2
age,25-64,166699,1.177,1.14,1.216,1.095,1.021,1.175,1.137
age,65+,49680,1.167,1.104,1.234,1.089,0.962,1.232,1.087
