year,deaths,heat_an,heat_af_pct
2016,36667,508.1677786228782,1.3858995244303547
2017,37192,563.3094681043328,1.5145984838253734
2018,36542,454.28630534675773,1.243189495229483
2019,36106,414.4630267460296,1.1479062392567152
2020,38708,518.452968318619,1.339394875267694
2021,42927,572.0333874137012,1.3325724774936547
2022,42355,558.4449062626448,1.3184863800322155
