pref_name,pop2020,area_km2,density,density_group
愛知,7542415,5173.07,1458.0152597973738,high_density
秋田,959502,11637.52,82.44900975465563,low_density
青森,1237984,9645.64,128.34648608075773,low_density
千葉,6284480,5157.57,1218.4963073695558,high_density
愛媛,1334841,5676.19,235.1649610037719,low_density
福井,766863,4190.52,182.9994845508433,low_density
福岡,5135214,4986.51,1029.8212577534186,high_density
福島,1833152,13784.14,132.98994351479308,low_density
岐阜,1978742,10621.29,186.2995926106904,low_density
群馬,1939110,6362.28,304.7822478734039,high_density
広島,2799702,8479.65,330.16716491836337,high_density
北海道,5224614,83424.44,62.62689926357312,low_density
兵庫,5465002,8401.02,650.5164849030236,high_density
茨城,2867009,6097.39,470.2026604825999,high_density
石川,1132526,4190.94,270.23197659713577,high_density
岩手,1210534,15275.01,79.2493098204191,low_density
香川,950244,1876.78,506.31613721373844,high_density
鹿児島,1588256,9187.06,172.8796807683851,low_density
神奈川,9237337,2416.11,3823.227005392966,high_density
高知,691527,7103.63,97.34839793176165,low_density
熊本,1738301,7409.46,234.60562578109605,low_density
京都,2578087,4612.2,558.9712067993582,high_density
三重,1770254,5774.49,306.5645624115723,high_density
宮城,2301996,7282.29,316.10880643314124,high_density
宮崎,1069576,7735.22,138.2735074115539,low_density
長野,2048011,13561.56,151.01588607800284,low_density
長崎,1312317,4130.98,317.67691927823427,high_density
奈良,1324473,3690.94,358.84435943147275,high_density
新潟,2201272,12583.96,174.92681159189954,low_density
大分,1123852,6340.76,177.24247566537764,low_density
岡山,1888432,7114.33,265.4405966549204,high_density
沖縄,1467480,2282.59,642.9012656675093,high_density
大阪,8837685,1905.32,4638.425566309072,high_density
佐賀,811442,2440.69,332.46418021133366,high_density
埼玉,7344765,3797.75,1933.9780132973472,high_density
滋賀,1413610,4017.38,351.8736091681643,high_density
島根,671126,6707.89,100.05023934501013,low_density
静岡,3633202,7777.35,467.1516647701338,high_density
栃木,1933146,6408.09,301.6727293155995,high_density
徳島,719559,4146.75,173.52360282148672,low_density
東京,14047594,2194.03,6402.644448799697,high_density
鳥取,553407,3507.14,157.7943851685419,low_density
富山,1034814,4247.58,243.6243696410662,low_density
和歌山,922584,4724.65,195.2703374853164,low_density
山形,1068027,9323.15,114.55645355915115,low_density
山口,1342059,6112.54,219.5583178187791,low_density
山梨,809974,4465.27,181.39418221070616,low_density
